total_cup_points,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
84.17,Arabica,juan luis alvarado romero,Guatemala,finca la joya,11/52/1170,beneficio exportacafe agua santa,11/52/1170,exportcafe,3664,huehuetenango,DARY COLMAN ALVARADO VILLATORO,275,69 kg,Asociacion Nacional Del Café,2016,"June 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,0.11,0,0.0,Green,6,"June 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1116.7872,1116.7872,1116.7872
84.75,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCTFHMG15/16,matsuzawa coffee,,matsuzawa coffee,,thailand,Matsuzawa Coffee,50,50 kg,Specialty Coffee Institute of Asia,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,0.12,0,0.0,Green,0,"June 27th, 2017",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,,,
82.42,Arabica,finca las nieves,Mexico,fln mirador,,finca las nieves,1,finca las nieves,1450,fln mirador,ROBIN CLEAVER,10,1 kg,AMECAFE,2012,"April 9th, 2012",FINCA LAS NIEVES,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,0.12,0,0.0,Bluish-Green,0,"April 9th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1450.0,1450.0,1450.0
81.75,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0514,beneficio ixchel,11/23/0514,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,50,69 kg,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,0.11,0,1.0,Green,1,"June 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700.0,1700.0,1700.0
85.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220453,kona pacific farmers cooperative,,kona,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,0.0,4,0.0,,6,"April 6th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,,,
82.67,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0152,,1800 msnm,huila,,250,70 kg,Almacafé,4T/10,"February 9th, 2011",Exportadora de Cafe Condor S.A,,,8.08,7.67,7.67,7.33,7.33,7.17,10.0,10.0,10.0,7.42,0.08,0,0.0,,3,"February 9th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0
81.17,Arabica,afca,Malawi,makoka valley estate,,r.w.j. wallace ltd,C16,r.w.j wallace ltd,990-1000m,southern- zomba,R.W.J. Wallace Ltd,300,60 kg,Africa Fine Coffee Association,2014,"November 4th, 2014",AFCA,Caturra,Washed / Wet,7.58,7.25,7.33,7.08,7.33,7.33,10.0,10.0,10.0,7.25,0.12,0,0.0,Green,12,"November 4th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,990.0,1000.0,995.0
86.08,Arabica,nucoffee,Brazil,fazenda kaquend,,,002/1251/0071,nucoffee,1250m,south of minas,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,0.0,Blue-Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0
81.17,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",ampcg,,taylor winch (t) ltd,C18,taylor winch (t) ltd,1550,mbinga,Taylor Winch (T) ltd,320,60 kg,Africa Fine Coffee Association,2014,"December 17th, 2014",Taylor Winch (T) Ltd,Bourbon,Washed / Wet,7.58,7.17,7.17,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.12,0,0.0,Bluish-Green,2,"December 17th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1550.0,1550.0,1550.0
83.0,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0141,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2012,"June 8th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,0.11,0,0.0,Green,0,"June 8th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
80.58,Arabica,ipanema coffees,Brazil,rio verde,,ipanema coffees,002/1660/0066,ipanema coffees,1200,south of minas,Ipanema Agrícola SA,300,2 kg,Specialty Coffee Association,2014/2015,"October 17th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.42,7.25,7.33,7.0,7.08,7.25,10.0,10.0,10.0,7.25,0.0,0,0.0,Green,3,"October 17th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1200.0,1200.0
81.92,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindio,3-068-141,,1600 m.s.n.m,cundinamarca,Exportadora de Café Cóndor S.A,250,70 kg,Almacafé,4T/2010,"February 1st, 2011",Exportadora de Cafe Condor S.A,,,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.33,0.09,0,0.0,,1,"February 1st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1600.0,1600.0
79.5,Arabica,armando luis pohlenz martinez,Mexico,,,finca custepec,2676,beneficio custepec s.a. de c.v.,1550,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,250,1 kg,AMECAFE,2012,"August 1st, 2012",ARMANDO LUIS POHLENZ MARTINEZ,Caturra,Washed / Wet,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10.0,10.0,7.0,0.12,1,0.0,Green,20,"August 1st, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1550.0,1550.0,1550.0
82.92,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,0,0.0,Green,0,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890.0,890.0,890.0
83.17,Arabica,saul m. hernandez ramirez,Mexico,tlapacoya,,"el chipoco, municipio de tlanchinol",1702765464,,532,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,10,1 kg,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,0.12,3,0.0,None,8,"September 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,532.0,532.0,532.0
82.42,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0262,,1750 m.s.n.m,huila,,0,70 kg,Almacafé,3T/2011,"September 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.58,7.25,7.42,7.25,7.58,7.83,10.0,10.0,10.0,7.5,0.02,0,0.0,,1,"September 21st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
79.75,Arabica,"lin, che-hao krude 林哲豪",Taiwan,ka-vulungan coffee estate,,ka-vulungan coffee estate,Taiwan,"red on tree co., ltd.",800-1200,"taiwu township , pingtung county 屏東縣泰武鄉",Wei-Chieh ( Jack ) Hua,28,50 kg,Specialty Coffee Association,2014,"March 21st, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,0.0,0,0.0,,0,"March 20th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800.0,1200.0,1000.0
82.67,Arabica,george a. fernandez,Colombia,la canada,,the beneficio is designed to be ecologic,2889,,1800 meters (5900,52 narino (exact location: mattituy; municipal region: florida code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,1,1 kg,Specialty Coffee Association,Spring 2011 in Colombia.,"November 16th, 2011",George A. Fernandez,,,7.33,7.58,7.42,7.42,7.67,7.67,10.0,10.0,10.0,7.58,0.11,0,0.0,Green,0,"November 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1800.0,5900.0,3850.0
85.75,Arabica,dane loraas,Peru,,,,030-0537-2066,sustainable harvest,,cajamarca,,280,5 lbs,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,0.1,4,0.0,Green,6,"January 22nd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,,,
85.08,Arabica,carcafe ltda ci,Colombia,,,,3-59-0951,carcafe ltda,2136 msnm,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,250,70 kg,Almacafé,2012,"March 16th, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,0.11,0,0.0,Green,8,"March 16th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2136.0,2136.0,2136.0
82.83,Arabica,essencecoffee,Colombia,,,,3015388,essence coffee,1200-2000m,huila,Mercedes Narvaez,100,24 kg,Blossom Valley International,2014,"March 21st, 2015",EssenceCoffee,Other,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,10.0,10.0,10.0,7.08,0.0,0,0.0,,1,"March 20th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1200.0,2000.0,1600.0
84.25,Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/59,beneficio siembras vision (154),11/11711/59,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,230,69 kg,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,4.0,Green,4,"May 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500.0,1500.0,1500.0
83.83,Arabica,"lin, che-hao krude 林哲豪",Taiwan,鄉舍咖啡 hometown coffee,,鄉舍咖啡 hometown coffee,Taiwan,taiwan coffee laboratory,480-570m,"dongshan dist., tainan city 臺南市東山區",ZENG JIAN NAN 曾建男,8,18 kg,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,0.0,0,0.0,Green,1,"April 29th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,480.0,570.0,525.0
83.5,Arabica,debesa agro industry plc,Ethiopia,,,,2014/15,debesa agro industry plc,1600 on average,oromia,Debesa,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",Debesa Agro Industry Plc,,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.1,1,0.0,,18,"March 30th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1600.0,1600.0,1600.0
83.0,Arabica,santiago solis ayerdi,Mexico,finca la estancia,,"atoyac de alvarez, guerrero",1302911347,finca la estancia,1200,atoyac de alvarez,SANTIAGO SOLIS AYERDI,20,1 kg,AMECAFE,2012,"July 26th, 2012",SANTIAGO SOLIS AYERDI,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,0.11,0,0.0,Green,7,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200.0,1200.0,1200.0
82.25,Arabica,nucoffee,Brazil,caxambu,,,002/1251/0183,nucoffee,,,Carmem Lucia Chaves de Brito,84,60 kg,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Arusha,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,7.5,0.12,0,0.0,Green,1,"January 22nd, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,,,
82.67,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0049,exportadora de cafe condor s.a,1800 msnm,huila,,250,70 kg,Almacafé,2012,"January 22nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,7.42,0.11,0,0.0,Bluish-Green,3,"January 22nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0
84.33,Arabica,bismarck castro,Honduras,los hicaques,76,dry mill,13-111-032,cigrah s.a de c.v,1500,central region,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,"April 4th, 2016",Bismarck Castro,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,0.11,0,1.0,Green,2,"April 4th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500.0,1500.0,1500.0
84.92,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0416,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,LA PLATA,50,70 kg,Almacafé,2012,"December 11th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,0.11,0,0.0,Green,3,"December 11th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0
75.5,Arabica,juana rodriguez gutierrez,Mexico,la joya,,"palo blanco, tlacuilotepec, puebla",1207093598,productores e industrializadores de café orgánico la fe s.c. de r.l.,1100,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,10,1 kg,AMECAFE,2012,"September 12th, 2012",JUANA RODRIGUEZ GUTIERREZ,Pacamara,Washed / Wet,7.5,7.25,6.92,7.0,7.17,6.83,8.0,8.0,10.0,6.83,0.11,4,0.0,Green,20,"September 12th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100.0,1100.0,1100.0
81.83,Arabica,"lin, che-hao krude 林哲豪",Taiwan,gao chun fang 高醇坊,,gao chun fang 高醇坊,Taiwan,taiwan coffee laboratory,700m,"dongshan dist., tainan city 臺南市東山區",LIN SIN JI 林信吉,8,5 kg,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,0.0,0,0.0,Green,0,"April 29th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,700.0,700.0,700.0
84.25,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0290,exportadora de cafe condor s.a,1700,cauca,,250,70 kg,Almacafé,2013,"October 1st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,2,"October 1st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1700.0,1700.0,1700.0
81.83,Arabica,ipanema coffees,Brazil,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agrícola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,7.75,0.0,0,0.0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1.0,1.0,1.0
81.0,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,taiwan hao ka 台灣好咖莊園,,taiwan hao ka 台灣好咖莊園,,blossom valley宸嶧國際,1100 m,nantou,Zhou hong xiu 周紅秀,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Semi-washed / Semi-pulped,7.5,6.92,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.25,0.11,0,0.0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1100.0,1100.0,1100.0
82.92,Arabica,nyapea coffee farmers association,Uganda,nyapea coffee farmers,,nyapea,0,nyapea coffee farmers association,1400,west nile,Nyapea coffee farmers association,1,60 kg,Uganda Coffee Development Authority,2013,"June 27th, 2014",Nyapea coffee farmers association,SL14,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.12,0,0.0,Green,4,"June 27th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400.0,1400.0,1400.0
82.0,Arabica,eric thormaehlen,Costa Rica,various,,coricafe sa,5-0048-0144,coricafe s.a.,1200-1400,central valley,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,0.1,0,0.0,Green,4,"June 9th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200.0,1400.0,1300.0
82.33,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,yu jin gui 玉金櫃咖啡,,yu jin gui 玉金櫃咖啡,,blossom valley宸嶧國際,600 m,taichung xinshe 台中市新社區,Lin yu ding 林玉定,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.11,0,0.0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,600.0,600.0,600.0
